# Program:featureCounts v2.1.1; Command:"featureCounts" "-g" "gene_id" "-a" "clean_anno.gtf" "-o" "fcounts.txt" "SRR941816.bam" "SRR941817.bam" "SRR941818.bam" "SRR941819.bam" 
Geneid	SRR941816.bam	SRR941817.bam	SRR941818.bam	SRR941819.bam
YAL068C	14	16	2	6
YAL067W-A	0	0	0	0
YAL067C	116	69	5	11
YAL065C	11	3	2	3
YAL064W-B	1	3	0	0
YAL064C-A	0	1	1	0
YAL064W	0	0	0	0
YAL063C-A	0	0	0	0
YAL063C	28	20	2	3
YAL062W	7596	1095	131	161
YAL061W	1907	1941	32	82
YAL060W	4076	4826	84	332
YAL059W	135	254	528	1672
YAL058W	85	137	55	195
YAL056W	1401	1171	26	79
YAL055W	225	212	12	37
YAL054C	23270	6371	158	125
YAL053W	1927	772	387	922
YAL051W	522	472	63	197
YAL049C	2664	2406	67	295
YAL048C	254	225	28	84
YAL047C	101	122	24	86
YAL046C	38	193	27	152
YAL044W-A	519	462	25	124
YAL044C	805	1524	141	436
YAL043C	635	684	125	543
YAL042W	422	853	140	594
YAL041W	166	364	124	398
YAL040C	856	609	276	738
YAL039C	749	1034	139	354
YAL038W	37694	18064	3979	11019
YAL037C-A	21	16	6	11
YAL037W	42	51	18	54
YAL036C	183	248	452	1601
YAL035W	1456	2130	934	2933
YAL034W-A	71	136	14	47
YAL034C	4051	2095	95	330
YAL033W	64	117	33	203
YAL032C	86	180	78	248
YAL031C	485	460	49	162
YAL030W	755	791	39	174
YAL029C	280	525	173	545
YAL028W	214	161	6	36
YAL027W	340	457	20	70
YAL026C	222	326	59	236
YNCA0001W	5	6	0	2
YAL025C	135	257	850	2899
YAL024C	42	95	32	102
YAL023C	476	1403	328	1160
YAL022C	33	56	36	108
YAL021C	798	830	110	352
YAL020C	253	308	15	109
YAL019W	206	289	147	460
YAL018C	0	0	0	1
YAL017W	2358	1720	26	91
YAL016W	3905	4009	142	614
YAL015C	232	460	34	212
YAL014C	274	464	43	200
YAL013W	455	698	157	535
YAL012W	106	234	855	3009
YAL011W	149	202	78	255
YAL010C	184	238	19	103
YAL009W	112	91	32	141
YAL008W	1410	980	40	104
YAL007C	118	509	58	267
YNCA0002W	0	0	0	0
YAL005C	15059	41897	294	1585
